"base_note","product_id"
琥珀,1469
琥珀,1470
喀什米爾木,1471
零陵香豆,1472
麂皮絨,1473
琥珀,1474
麝香,1475
焦糖餅,1476
香草奶油,1477
檀香,1478
雪松,1479
烏木,1480
琥珀,1481
樺木,1482
皮革,1483
廣藿香,1484
覆盆子,1485
巧克力,1486
桃,1487
琥珀,1488
香根草,1489
廣藿香,1490
麝香,1491
麝香,1492
香草,1493
白木,1494
香草,1495
麂皮,1496
木香,1497
麝香,1498
雪松,1499
廣藿香,1500
海藻,1501
龍涎香,1502
廣藿香,1503
檀香,1504
香根草,1505
廣藿香,1506
田中木材,1507
麝香,1508
雪松,1509
竹子,1510
頓加豆,1511
大溪地香草,1512
nan,1513
檀香,1514
檀香木,1515
香根草,1516
雪松,1517
麝香,1518
癒創木,1519
黑琥珀,1520
橡苔,1521
涼鞋,1522
香根草,1523
廣藿香,1524
香草,1525
麝香,1526
檀香,1527
琥珀,1528
麝香,1529
香草,1530
白麝香,1531
粉紅麝香,1532
檀香,1533
雪松,1534
琥珀白,1535
海地香根草,1536
印度檀香,1537
麝香,1538
麂皮絨,1539
廣藿香,1540
紫羅蘭,1541
安佈雷特,1542
雪松,1543
檀香,1544
大溪地香根草,1545
雪松,1546
麝香,1547
白麝香,1548
白木,1549
橡樹苔,1550
玫瑰木,1551
麝香,1552
鳶尾花及雪松木,1553
檀香木,1554
香根草,1555
黑色,1556
白雪松,1557
零陵香豆,1558
香草,1559
白麝香,1560
木質香調,1561
白琥珀,1562
麝香,1563
清木,1564
麂皮,1565
苔蘚,1566
吐魯香脂,1567
祕魯香脂,1568
檀香,1569
琥珀,1570
安息香,1571
麝香,1572
白樹,1573
覆盆子,1574
香草,1575
杜松,1576
麝香,1577
覆盆子,1578
杏仁,1579
香根草,1580
安息香,1581
廣藿香,1582
檀香,1583
琥珀木,1584
通卡豆,1585
紫羅蘭葉,1586
香根草,1587
白色木材,1588
銀杏,1589
柚木,1590
煙草花,1591
廣藿香,1592
檀香,1593
香草,1594
馬達加斯加香草,1595
香草絕對,1596
紫羅蘭木,1597
粉色棉花糖,1598
廣藿香黃糖香調,1599
朗姆酒,1600
麝香,1601
森林,1602
鳶尾根,1603
琥珀,1604
麝香,1605
nan,1606
nan,1607
西柚,1608
胡椒,1609
檀香,1610
靈貓,1611
雪松,1612
癒創木,1613
檀香,1614
